Time,Reporter,Type,Content,Screenshot,RTF Note
21.01.2016 13:23:29,Bartłomiej Kaftan,Note,"Po przeanalizowaniu testowanej kategorii okazało się; że wprowadzane dane mogą być dowolnego rodzaju; bez ograniczenia. Ponadto wszystkie przyciski działają; i są w miarę intuicyjne.",,
21.01.2016 13:23:35,Bartłomiej Kaftan,autogenerated,"screenshot saved",9_20160121_132335.jpg,
21.01.2016 13:24:48,Bartłomiej Kaftan,Test,"Sprawdzanie podkategorii odpowiedzialnych za listy pracowników.",9_20160121_132335.jpg,
21.01.2016 13:25:50,Bartłomiej Kaftan,autogenerated,"screenshot saved",10_20160121_132550.jpg,
21.01.2016 13:25:52,Bartłomiej Kaftan,Note,"Dodawanie; wyszukiwanie; usuwanie danych działa poprawnie. Ponadto przycisk reset odpowiednio czyści zadane pola.",10_20160121_132550.jpg,
21.01.2016 13:26:37,Bartłomiej Kaftan,autogenerated,"screenshot saved",11_20160121_132637.jpg,
21.01.2016 13:27:01,Bartłomiej Kaftan,Test,"Dodawanie pracowników do bazy.",11_20160121_132637.jpg,
21.01.2016 13:27:49,Bartłomiej Kaftan,Note,"Dodawanie pracowników do bazy działa odpowiednio. Można przyjąć że więcej pól zawierających dane powinno być obowiązkowe.",,
21.01.2016 13:28:20,Bartłomiej Kaftan,Test,"S",,
21.01.2016 13:28:42,Bartłomiej Kaftan,Test,"Sprawdzenie pozycji odpowiedzialnych za definiowanie raportów.",,
21.01.2016 13:30:04,Bartłomiej Kaftan,autogenerated,"screenshot saved",12_20160121_133004.jpg,
21.01.2016 13:30:06,Bartłomiej Kaftan,Note,"Walidacja pól odpowiednia; brak ograniczeń co do nazwy raportu; może być problematyczny.",12_20160121_133004.jpg,
21.01.2016 13:30:59,Bartłomiej Kaftan,Test,"Kontrola pozycji Add Leave Entitlement",,
21.01.2016 13:31:30,Bartłomiej Kaftan,autogenerated,"screenshot saved",13_20160121_133130.jpg,
21.01.2016 13:33:11,Bartłomiej Kaftan,Note,"Walidacja prawidłowa. Formularz odpowiednio nie dopuszcza wprowadzanych wartości pustych.",13_20160121_133130.jpg,
21.01.2016 13:35:18,Bartłomiej Kaftan,Test,"Kontrola możliwości dodawania raportów.",,
21.01.2016 13:36:09,Bartłomiej Kaftan,Note,"Istnieje możliwość dodawania raportów; walidacja przy dodawaniu raportów jest odpowiednia. Blokowane są puste pola.",,
21.01.2016 13:44:34,Bartłomiej Kaftan,Test,"Sprawdzenie zakładki Recruitment i jej pod zakładek",,
21.01.2016 13:46:16,Bartłomiej Kaftan,autogenerated,"screenshot saved",14_20160121_134616.jpg,
21.01.2016 13:47:42,Bartłomiej Kaftan,Note,"Istnieje możliwość dodawania kjandydatów oraz wolnych etatów. Podobnie istnieje możliwość usuwanie danych z bazy danych.",14_20160121_134616.jpg,
21.01.2016 13:49:22,Bartłomiej Kaftan,Test,"Sprawdzenie funkcjonalności zakładki Performance i jej podzakładek.",,
21.01.2016 13:51:13,Bartłomiej Kaftan,autogenerated,"screenshot saved",15_20160121_135112.jpg,
21.01.2016 13:51:38,Bartłomiej Kaftan,Note,"Walidacja pól jest prawidłowa; można zwrócić uwagę na możliwość dowolnego wpisywania danych. Pola wymagane są wymuszane do podania.",15_20160121_135112.jpg,
21.01.2016 13:52:20,Bartłomiej Kaftan,Test,"Sprawdzenie zakłądki Dashboard; i jej funkcjonalności.",,
21.01.2016 13:53:28,Bartłomiej Kaftan,Note,"Dane zamieszczone w tej zakładce są czytelne; odpowidnio rozmieszczone. Odnośniki wskazują na odpowidnie miejsca na stronie.",,
21.01.2016 13:54:05,Bartłomiej Kaftan,Test,"Testowanie zakładki Directory.",,
21.01.2016 13:54:08,Bartłomiej Kaftan,autogenerated,"screenshot saved",16_20160121_135408.jpg,
21.01.2016 13:55:23,Bartłomiej Kaftan,autogenerated,"screenshot saved",17_20160121_135523.jpg,
21.01.2016 13:55:25,Bartłomiej Kaftan,Test,"Funkcjonalność prawidłowa; wyszukiwanie działa prawidłowo. Tak samo działanie przycisku reset jest odpowiednie.",17_20160121_135523.jpg,
21.01.2016 13:55:51,Bartłomiej Kaftan,Test,"Próba zmiany hasła przez administratora.",,
21.01.2016 13:57:14,Bartłomiej Kaftan,autogenerated,"screenshot saved",18_20160121_135714.jpg,
21.01.2016 13:57:16,Bartłomiej Kaftan,Note,"Próba zmiany hasła zakończona powodzeniem. Udało się zalogować; po zmianie hasła.",18_20160121_135714.jpg,
21.01.2016 13:57:25,Bartłomiej Kaftan,Test,"S",,
21.01.2016 13:57:42,Bartłomiej Kaftan,Test,"Sprawdzenie czytelności strony.",,
21.01.2016 13:59:02,Bartłomiej Kaftan,Check,"Strona jest czytelna; niemniej jednak nie ma możliwości zmiany koloru skórek; na ciemniejsze; mniej męczące wzrok.",,
21.01.2016 13:59:56,Bartłomiej Kaftan,Test,"Sprawdzenie działania odnośnika; po kliknięciu na niego.",,
21.01.2016 14:00:30,Bartłomiej Kaftan,Note,"Odnośnik przenosi do strony www.orangehrm.com",,
21.01.2016 14:00:58,Bartłomiej Kaftan,Test,"Wylogowanie i ponowne zalogowanie.",,
21.01.2016 14:02:23,Bartłomiej Kaftan,Note,"Po wylogowaniu i ponownym zalogowaniu; wracamy do układu jaki był przed wylogowaniem.",,
21.01.2016 14:04:21,Bartłomiej Kaftan,Test,"Przeklikanie wszystkich możliwych przysików i sprawdzenie ich działania.",,
21.01.2016 14:07:47,Bartłomiej Kaftan,Note,"Wszystkie przyciski spełniają swoje zadania. Ich kolorystyka odpowida ich funkcjonalności.",,
21.01.2016 14:08:21,Bartłomiej Kaftan,Test,"Sprawdzenie działania odnośnika na dole strony.",,
21.01.2016 14:08:47,Bartłomiej Kaftan,autogenerated,"screenshot saved",19_20160121_140847.jpg,
21.01.2016 14:08:50,Bartłomiej Kaftan,Note,"Odnośnik na dole strony działa prawidłowo.",19_20160121_140847.jpg,
21.01.2016 14:09:36,Bartłomiej Kaftan,Test,"Sprawdzam skalowanie strony; przy zmniejszeniu rozmiaru okna przeglądarki.",,
21.01.2016 14:10:21,Bartłomiej Kaftan,Note,"Strona staje się mało czytelna; dostęp do odpowiednich pól staje się utrudniony. Strona jest nie skalowalna.",,
21.01.2016 14:10:24,Bartłomiej Kaftan,autogenerated,"screenshot saved",20_20160121_141024.jpg,
21.01.2016 14:10:41,Bartłomiej Kaftan,Test,"S",20_20160121_141024.jpg,
21.01.2016 14:10:55,Bartłomiej Kaftan,Test,"Sprawdzenie informacji o firmie.",,
21.01.2016 14:11:50,Bartłomiej Kaftan,Note,"Dane o firmie są łatwo dostępne; i zwięzłe; przez to dostęp do nich jest utrudniony.",,
21.01.2016 14:12:25,Bartłomiej Kaftan,Note,"Podsumowanie: strona nie posiada możliwości zmiany kolorów tła na ciemniejsze; mniej męczące oczy; obsługa nie jest zbyt intuicyjna; wymaga posiadania fachowej wiedzy na temat systemów kadrowych; bądź dłuższego zapoznania się z systemem; należałoby dopracować walidację pól z wyboru użytkownika; brak problemów z dodawaniem; usuwaniem; bądź wyszukiwaniem danych z bazy danych.",,
21.01.2016 14:13:16,Bartłomiej Kaftan,Session End. Duration,"01:17:56",,
